epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,5058.87,0.16944,0.4234,0.7823,0.95118,0.92041,0.98753,0.98456,0.1488,0.30401,0.76506,4.29e-05,4.29e-05,4.29e-05
32,5204.76,0.16702,0.49659,0.77509,0.87489,0.9699,0.97842,0.97477,0.13983,0.29323,0.76362,3.993e-05,3.993e-05,3.993e-05
33,5364.67,0.16356,0.42222,0.79106,0.87457,0.97159,0.98075,0.97747,0.14656,0.27434,0.76653,3.696e-05,3.696e-05,3.696e-05
34,5529.73,0.16183,0.3802,0.7745,0.91894,0.91704,0.97888,0.97615,0.14151,0.30021,0.76589,3.399e-05,3.399e-05,3.399e-05
35,5697.07,0.15729,0.30722,0.77856,0.92173,0.9535,0.98466,0.9815,0.14021,0.25544,0.76316,3.102e-05,3.102e-05,3.102e-05
36,5860.15,0.15187,0.31564,0.77703,0.90565,0.96007,0.98894,0.98596,0.13948,0.25323,0.76506,2.805e-05,2.805e-05,2.805e-05
37,6035.7,0.17708,0.33978,0.81823,0.9181,0.96276,0.98165,0.97889,0.13507,0.25505,0.76402,2.508e-05,2.508e-05,2.508e-05
38,6204.7,0.15438,0.3823,0.77985,0.91111,0.96586,0.97747,0.97523,0.13393,0.25629,0.76262,2.211e-05,2.211e-05,2.211e-05
39,6377.88,0.14748,0.36005,0.77323,0.89864,0.96671,0.98554,0.98323,0.1316,0.24157,0.76266,1.914e-05,1.914e-05,1.914e-05
40,6536.64,0.1427,0.2874,0.76713,0.95711,0.94526,0.98953,0.98765,0.1315,0.23585,0.76215,1.617e-05,1.617e-05,1.617e-05
